NGC40,40,PK 120+9.1,Planetary Nebula,Cep,11,
NGC55,55,Dunlop 507,Galaxy,Scl,8,
NGC104,104,47 Tucanae,Globular Cluster,Tuc,4,
NGC129,129,OCL 294,Open Cluster,Cas,6.5,
NGC147,147,UGC 326;D3,Galaxy,Cas,9.3,
NGC185,185,UGC 396,Galaxy,Cas,9.2,
NGC188,188,OCL 309,Open Cluster,Cep,8.1,
NGC205,205,M 110,Galaxy,And,8,
NGC221,221,M 32,Galaxy,And,8.2,Le Gentil
NGC224,224,M 31,Galaxy,And,3.5,Andromeda Galaxy
NGC225,225,OCL 305,Open Cluster,Cas,7,
NGC246,246,PK 118-74.1,Planetary Nebula,Cet,8,
NGC247,247,ESO 540-22,Galaxy,Cet,8.9,
NGC253,253,ESO 474-29,Galaxy,Scl,7.1,
NGC281,281,IC 11,Cluster Nebulosity,Cas,7,
NGC292,292,ESO 29-21,Galaxy,Hyd,2.2,"Small Magellanic Cloud,SMC"
NGC300,300,ESO 295-20,Galaxy,Scl,9,
NGC362,362,Dunlop 62,Globular Cluster,Tuc,6.6,
NGC457,457,OCL 321,Open Cluster,Cas,6.4,
NGC559,559,OCL 322,Open Cluster,Cas,9.5,
NGC581,581,M 103,Open Cluster,Cas,7.4,
NGC598,598,M 33,Galaxy,Tri,5.7,Triangulum Galaxy
NGC628,628,M 74,Galaxy,Psc,9.2,
NGC650,650,M 76,Planetary Nebula,Per,12,Little Dumbbell Nebula
NGC654,654,OCL 330,Open Cluster,Cas,6.5,
NGC663,663,OCL 333,Open Cluster,Cas,7.1,
NGC752,752,OCL 363,Open Cluster,And,5.7,
NGC869,869,OCL 350,Open Cluster,Per,4,
NGC884,884,OCL 353,Open Cluster,Per,4,
NGC891,891,UGC 1831,Galaxy,And,10,
NGC1027,1027,OCL 357,Open Cluster,Cas,6.7,
NGC1039,1039,M 34,Open Cluster,Per,5.2,
NGC1068,1068,M 77,Galaxy,Cet,8.8,
NGC1097,1097,ESO 416-20,Galaxy,For,9.3,
NGC1261,1261,GCL 5,Globular Cluster,Hor,8.4,
NGC1275,1275,3C84;UGC 2669,Galaxy,Per,11.6,
NGC1342,1342,OCL 401,Open Cluster,Per,6.7,
NGC1444,1444,OCL 394,Open Cluster,Per,6.6,
NGC1502,1502,OCL 383,Open Cluster,Cam,5.7,
NGC1528,1528,OCL 397,Open Cluster,Per,6.4,
NGC1545,1545,OCL 399,Open Cluster,Per,6.2,
NGC1582,1582,OCL 407,Open Cluster,Per,7,
NGC1647,1647,OCL 457,Open Cluster,Tau,6.4,
NGC1662,1662,OCL 470,Open Cluster,Ori,6.4,
NGC1746,1746,OCL 452,Open Cluster,Tau,6,
NGC1807,1807,OCL 462,Open Cluster,Tau,7,
NGC1851,1851,Dunlop 508,Globular Cluster,Col,7.3,
NGC1857,1857,OCL 428,Open Cluster,Aur,7,
NGC1904,1904,M 79,Globular Cluster,Lep,8,
NGC1912,1912,M 38,Open Cluster,Aur,6.4,
NGC1952,1952,M 1,Nebula,Tau,8.4,Crab Nebula
NGC1960,1960,M 36,Open Cluster,Aur,6,Pinwheel Cluster
NGC1976,1976,M 42,Nebula,Ori,4,Orion Nebula
NGC1981,1981,OCL 525,Open Cluster,Ori,4.6,
NGC1982,1982,M 43,Nebula,Ori,9,De Mairan's Nebula
NGC2068,2068,M 78,Nebula,Ori,8,
NGC2070,2070,ESO 57-EN6,Cluster Nebulosity,Dor,8.2,
NGC2099,2099,M 37,Open Cluster,Aur,5.6,
NGC2129,2129,OCL 467,Open Cluster,Gem,6.7,
NGC2168,2168,M 35,Open Cluster,Gem,5.1,
NGC2169,2169,OCL 481,Open Cluster,Ori,5.9,
NGC2175,2175,OCL 476,Open Cluster,Ori,6.8,
NGC2232,2232,OCL 545,Open Cluster,Mon,3.9,
NGC2244,2244,NGC 2239,Open Cluster,Mon,4.8,Rosetta Nebula
NGC2264,2264,OCL 495,Cluster Nebulosity,Mon,3.9,
NGC2281,2281,OCL 446,Open Cluster,Aur,5.4,
NGC2287,2287,M 41,Open Cluster,CMa,4.5,Little Beehive Cluster
NGC2301,2301,OCL 540,Open Cluster,Mon,6,
NGC2323,2323,M 50,Open Cluster,Mon,5.9,
NGC2343,2343,OCL 565,Open Cluster,Mon,6.7,
NGC2354,2354,OCL 639,Open Cluster,CMa,6.5,
NGC2360,2360,OCL 589,Open Cluster,CMa,7.2,
NGC2362,2362,OCL 633,Cluster Nebulosity,CMa,4.1,
NGC2392,2392,PK 197+17.1,Planetary Nebula,Gem,10,
NGC2396,2396,OCL 579,Open Cluster,Pup,7,
NGC2403,2403,UGC 3918,Galaxy,Cam,8.4,
NGC2419,2419,GCL 12,Globular Cluster,Lyn,10.4,
NGC2422,2422,M 47,Open Cluster,Pup,4.4,
NGC2423,2423,OCL 592,Open Cluster,Pup,6.7,
NGC2437,2437,M 46,Open Cluster,Pup,6.1,
NGC2439,2439,OCL 688,Open Cluster,Pup,6.9,
NGC2447,2447,M 93,Open Cluster,Pup,6.2,
NGC2451,2451,OCL 716,Open Cluster,Pup,2.8,
NGC2467,2467,OCL 668,Cluster Nebulosity,Pup,7,
NGC2477,2477,OCL 720,Open Cluster,Pup,5.8,
NGC2506,2506,OCL 593,Open Cluster,Mon,7.6,
NGC2516,2516,OCL 776,Open Cluster,Car,3.8,
NGC2527,2527,NGC 2520,Open Cluster,Pup,6.5,
NGC2539,2539,OCL 611,Open Cluster,Pup,6.5,
NGC2546,2546,OCL 726,Open Cluster,Pup,6.3,
NGC2548,2548,M 48,Open Cluster,Hya,5.8,
NGC2571,2571,OCL 701,Open Cluster,Pup,7,
NGC2632,2632,M 44,Open Cluster,Cnc,3.1,Beehive Cluster
NGC2682,2682,M 67,Open Cluster,Cnc,6.9,Bode's Galaxy
