NGC4559,UGC 7766,Galaxy,Coma Berenices,9.9,,Andromeda,And
NGC5866,M 102,Galaxy,Draco,9.9,,Antlia,Ant
NGC3992,M 109,Galaxy,Ursa Major,9.8,,Apus,Aps
NGC4254,M 99,Galaxy,Coma Berenices,9.8,,Aquarius,Aqr
NGC4552,M 89,Galaxy,Virgo,9.8,,Aquila,Aql
NGC4579,M 58,Galaxy,Virgo,9.8,,Ara,Ara
NGC4621,M 59,Galaxy,Virgo,9.8,,Aries,Ari
NGC5005,UGC 8256,Galaxy,Canes Venatici,9.8,,Auriga,Aur
NGC3351,M 95,Galaxy,Leo,9.7,,Boötes,Boo
NGC4236,UGC 7306,Galaxy,Draco,9.7,,Caelum,Cae
NGC4303,M 61,Galaxy,Virgo,9.7,,Camelopardalis,Cam
NGC4565,UGC 7772,Galaxy,Coma Berenices,9.6,,Cancer,Cnc
NGC559,OCL 322,Open Cluster,Cassiopeia,9.5,,Canes Venatici,CVn
NGC3628,UGC 6350,Galaxy,Leo,9.5,Sarah's Galaxy,Canis Major,CMa
NGC4501,M 88,Galaxy,Coma Berenices,9.5,,Canis Minor,CMi
NGC4569,M 90,Galaxy,Virgo,9.5,,Capricornus,Cap
NGC7331,UGC 12113,Galaxy,Pegasus,9.5,,Carina,Car
NGC4321,M 100,Galaxy,Coma Berenices,9.4,,Cassiopeia,Cas
NGC4449,UGC 7592,Galaxy,Canes Venatici,9.4,,Centaurus,Cen
NGC6981,M 72,Globular Cluster,Aquarius,9.4,,Cepheus,Cep
NGC147,UGC 326;D3,Galaxy,Cassiopeia,9.3,,Cetus,Cet
NGC1097,ESO 416-20,Galaxy,Fornax,9.3,,Chamaeleon,Cha
NGC3379,M 105,Galaxy,Leo,9.3,,Circinus,Cir
NGC3623,M 65,Galaxy,Leo,9.3,Leo Triplet,Columba,Col
NGC4374,M 84,Galaxy,Virgo,9.3,,Coma Berenices,Com
NGC4631,UGC 7865,Galaxy,Canes Venatici,9.3,,Corona Australis,CrA
NGC4697,MCG 1-33-10,Galaxy,Virgo,9.3,,Corona Borealis,CrB
